"data";"tot.pass";"est.pagantes";"est.grat";"tot.grat";"semana";"semana.num";"semana.dia1";"ano";"estudantes";"grat.no.est"
2019-09-22;2698572;42422;194155;519849;"2019-W39";39;2019-09-22;"2019";236577;325694
2019-09-23;7976554;236079;781419;1215634;"2019-W39";39;2019-09-22;"2019";1017498;434215
2019-09-24;8970917;265046;858802;1396207;"2019-W39";39;2019-09-22;"2019";1123848;537405
2019-09-25;8850620;255611;820834;1357751;"2019-W39";39;2019-09-22;"2019";1076445;536917
2019-09-26;8830707;247102;791923;1340674;"2019-W39";39;2019-09-22;"2019";1039025;548751
2019-09-27;8721301;220151;705821;1373616;"2019-W39";39;2019-09-22;"2019";925972;667795
2019-09-28;5182423;86444;342564;867844;"2019-W39";39;2019-09-22;"2019";429008;525280
2019-09-29;2916232;41007;175791;576162;"2019-W40";40;2019-09-29;"2019";216798;400371
2019-09-30;8540682;211683;662832;1377965;"2019-W40";40;2019-09-29;"2019";874515;715133
2019-10-01;9238665;250156;855207;1495648;"2019-W40";40;2019-09-29;"2019";1105363;640441
2019-10-02;9302013;265564;885810;1507481;"2019-W40";40;2019-09-29;"2019";1151374;621671
2019-10-03;9273905;268233;876188;1491805;"2019-W40";40;2019-09-29;"2019";1144421;615617
2019-10-04;9215060;252572;829956;1499801;"2019-W40";40;2019-09-29;"2019";1082528;669845
2019-10-05;5745997;111985;454805;969718;"2019-W40";40;2019-09-29;"2019";566790;514913
2019-10-06;3100491;52083;207591;612488;"2019-W41";41;2019-10-06;"2019";259674;404897
2019-10-07;9111412;267532;795382;1501187;"2019-W41";41;2019-10-06;"2019";1062914;705805
2019-10-08;9188582;271902;831043;1456979;"2019-W41";41;2019-10-06;"2019";1102945;625936
2019-10-09;9271979;277184;825261;1489072;"2019-W41";41;2019-10-06;"2019";1102445;663811
2019-10-10;9429647;281935;850068;1502506;"2019-W41";41;2019-10-06;"2019";1132003;652438
2019-10-11;9195223;259444;787156;1467258;"2019-W41";41;2019-10-06;"2019";1046600;680102
2019-10-12;4509366;82722;341290;794040;"2019-W41";41;2019-10-06;"2019";424012;452750
2019-10-13;3126718;54505;234406;599084;"2019-W42";42;2019-10-13;"2019";288911;364678
2019-10-14;8496505;222854;643398;1392261;"2019-W42";42;2019-10-13;"2019";866252;748863
